season,rain_total_mm,rain_growth_stage_mm,rain_establishment_mm,temp_mean_c,temp_growth_stage_mean_c
2014,477.78,103.14000000000001,273.76,16.12301652892562,14.247865168539326
2015,273.34000000000003,165.81,17.130000000000003,16.581975308641976,14.099666666666664
2016,438.57,149.14,234.26999999999998,16.738429752066118,15.776741573033707
2017,754.3800000000001,440.35,115.72,14.50599173553719,13.317977528089887
2018,248.79999999999998,74.08,109.31,16.039421487603306,15.221685393258428
2021,240.61999999999998,131.68,89.63,17.3554132231405,15.734044943820225
