season,ndvi_peak,ndvi_mean,ndvi_growth_stage_mean,ndvi_establishment_mean,n_valid_periods,campaign,wheat_area_ha,wheat_production_t,wheat_yield_t_ha
2014,0.6466108165994491,0.4762090427569759,0.579337422371006,0.4333126171884244,55,2014-2015,460570.0,1214654.0,2.637284234752589
2015,0.4981372644353574,0.3525654025342409,0.3954531660026529,0.3255173549747364,59,2015-2016,326903.0,417315.0,1.2765713376750902
2016,0.6673563447029978,0.4298414198835719,0.5433456998148245,0.3241247233069954,57,2016-2017,453800.0,1309267.0,2.8851189951520495
2017,0.6891656694033212,0.4521175589281258,0.5900170586945817,0.2950462950493246,61,2017-2018,388130.0,1170975.0,3.016965965011723
2018,0.6156314589110709,0.458716559195063,0.5263765001876504,0.4792790210811813,57,2018-2019,392720.0,988753.0,2.5177047260134446
2021,0.5816319779151029,0.3739694751354637,0.4446087105070406,0.3364886272379906,59,2021-2022,434443.4,765141.2000000001,1.761198812089216
